movie_title,genres,director_name,actor_1,actor_2,actor_3
A Twist of Date,"Comedy, Horror, Mystery",Kashmera Shah,Kashmera Shah,,
A Wednesday,"Action, Crime, Drama",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
A.R Rahman Encore Tour,Musical,Deepak Gattani,A.R. Rahman,,
Aa Ab Laut Chalen,"Musical, Romance, Drama",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,Drama,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Bhi Ja O Piya,"Family, Romance",Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
Aa Dekhen Zara,"Action, Sci-Fi, Thriller",Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,"Action, Drama, Romance",Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,"Mystery, Romance",Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,Action,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,Drama,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,Action,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
Aabra Ka Daabra,Fantasy,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,Romance,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
Aabroo,"Comedy, Crime, Drama",C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aabroo,,Nazir,,,
Aabshar,"Drama, Romance",Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
Aadab Arz,,V.C. Desai,Nalini Jaywant,Mukesh,
Aadab Hyderabad,,Sanjay Punjabi,,,
Aadamkhor,Action,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
Aadamkhor,Horror,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadamkhor Hasina,Action,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
Aadarniy Pitaji,Family,Prashant Kumar,,,
Aadarsh,Drama,,,,
Aadat,,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj
Aadat Se Majboor,"Action, Crime, Drama",Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,Action,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,Drama,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadhaar,Drama,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat
Aadharshila,Drama,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhe Adhure,Drama,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
Aadhi Bhagavan,"Action, Crime, Thriller",Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
"Aadhi Haqeeqat, Aadha Fasana",Documentary,Dilip Ghosh,,,
Aadhi Mimansa,,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar
Aadhi Raat,,Chandrakant,,,
