movie_title,genres,director_name,actor_1,actor_2,actor_3
Kabhi Bhi Kahin Bhi,"Drama, Romance, Thriller",Yogendra Singh,Dia Mirza,Dino Morea,Sharat Saxena
Kabhi Dhoop Kabhi Chhaon,"Drama, Family",Chandrakant,Dara Singh,Jagdeep,Ameeta
Kabhi Dhoop Kabhi Chhaon,Drama,Basu Bhattacharya,Satyendra Kapoor,Rakesh Pandey,Dina Pathak
Kabhi Eid Kabhi Diwali,Drama,Farhad Samji,Salman Khan,Pooja Hegde,
Kabhi Haan Kabhi Naa,"Comedy, Drama, Music",Kundan Shah,Shah Rukh Khan,Suchitra Krishnamoorthi,Deepak Tijori
Kabhi Kahin...,Mystery,Amol Shetge,Ashmit Patel,Anubhav Anand,Tulip Joshi
Kabhi Khushi Kabhie Gham...,"Drama, Musical, Romance",Karan Johar,Shah Rukh Khan,Kajol,Amitabh Bachchan
Kabhi Kranti Kabhi Jung,Action,Haresh,Junior Amitabh Bachchan,Ali Abbasee,Sangeeta Tiwari
Kabhi Na Kabhi,"Action, Drama, Romance",Priyadarshan,Jackie Shroff,Anil Kapoor,Pooja Bhatt
Kabhi Paas Kabhi Fail,"Comedy, Family",Virendra Saini,Sajeel Parakh,Saurabh Shukla,Sona
Kabhi Socha Bhi Na Tha,Drama,Kallol Sen,Dibyendu Bhattacharya,Madhoo,Seema Mishra
Kabhi Yuh Bhi Toh Ho,Family,Paritosh Goswami,Vishwa Bhavsar,Zaraius Contractor,Jyotin Dave
Kabhie Kabhie,"Drama, Romance",Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Rakhee Gulzar
Kabhie Tum Kabhie Hum,"Comedy, Drama, Family",Roop Dutta Naik,Mamta Kulkarni,Charuhas Shidore,Anjan Srivastav
Kabir Singh,"Action, Drama, Romance",Sandeep Reddy Vanga,Shahid Kapoor,Kiara Advani,Nikita Dutta
Kabirdas,Drama,Raju V.V.,Vijayachander,J.V. Somayajulu,Gautami
Kabli Khan,"Action, Musical",K. Amarnath,Ajit,Helen,Samson
Kabrastan,Horror,Mohan Bhakri,Hemant Birje,Kamna,Javed Khan
Kabrastan,Horror,Ramesh U. Lakhiani,Amit Kapoor,Satnam Kaur,Shehzad Khan
Kabul Express,"Adventure, Comedy, Drama",Kabir Khan,John Abraham,Arshad Warsi,Salman Shahid
Kabuliwala,Drama,Hemen Gupta,Balraj Sahni,Baby Sonu,Usha Kiran
Kabza,"Action, Adventure",R. Chandru,Nayanthara,Jackie Shroff,Prakash Raj
Kabzaa,"Action, Crime, Drama",Mahesh Bhatt,Raj Babbar,Sanjay Dutt,Amrita Singh
Kaccha Limboo,"Comedy, Family",Sagar Ballary,Muntazir Ahmad,Karan Bhanushali,Bhairavi Goswami
Kacha Chor,Drama,Jambulingam,Randhir Kapoor,Rekha,Som Dutt
Kachche Dhaage,"Action, Drama, Thriller",Milan Luthria,Ajay Devgn,Saif Ali Khan,Manisha Koirala
Kachche Heere,Action,Narendra Bedi,Feroz Khan,Reena Roy,Danny Denzongpa
Kachche Rishtey,Thriller,Abid,Dilip Advani,Sushil Chowdhary,Chetana Gupta
Kachchi Jawani,Thriller,Kapil Dev,Kapil Karzan,Ragini,Swapna
Kachchi Kali,Drama,K.R. Rangan,Sonika Gill,Kapil Karzan,Ajinkya Deo
Kachchi Sadak,"Action, Drama",Sanjay D. Singh,Rahul Singh,Parmita Katkar,Tinnu Anand
Kachha Yauvan,Thriller,Lakshmi Musari,Joe Simpson,,
Kachhi Kali,Drama,Kanti Shah,Sapna Sappu,Junior Amitabh Bachchan,Vinod Tripathi
Kachi Umar Mein,Thriller,Preetha,Sharda,Usman,
Kadakh,"Comedy, Drama, Thriller",Rajat Kapoor,Ranvir Shorey,Mansi Multani,Palomi Ghosh
Kadakti Bijli,,Bashir,Chanda,,
Kadal Meengal,Drama,G.N. Rangarajan,Kamal Haasan,Sujatha,Ambika
Kadamban,"Action, Adventure, Drama",N. Ragavan,Arya,Catherine Tresa,Deepraj Rana
Kadambari,,Nandlal Jaswantlal,Shanta Apte,Vanamala,Pahadi Sanyal
Kadambari,"Drama, Romance",Hk Verma,Shabana Azmi,Vijay Arora,Chand Usmani
Kadardaan,,Kawal Sharma,Sandeep,Rahul Singh,
Kadhal Desam,"Comedy, Drama, Romance",Kathir,Abbas,S.P. Balasubrahmanyam,Chaplin Balu
Kadhal Mannan,"Drama, Romance",Saran,Ajith Kumar,Maanu,M.S. Viswanathan
Kadke Kamal Ke,Comedy,Laxman Singh,Aaryan Adhikari,Neeta Dhungana,Rajpal Yadav
Kadvi Hawa,Drama,Nila Madhab Panda,Nilamadhab Panda,Sanjay Mishra,Ranvir Shorey
Kafan,Horror,Dhirendra Bohra,Javed Khan,Jamuna,Viju Khote
Kafan,Drama,Dhirendra Bohra,Pradeep Kumar,Mamata Shankar,
Kafila,Musical,Aravind Sen,Ashok Kumar,Nalini Jaywant,Motilal
Kagaar: Life on the Edge,"Crime, Drama",N. Chandra,Om Puri,Nandita Das,Amitabh Dayal
Kahaani,"Mystery, Thriller",Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta
Kahaani 2,"Mystery, Thriller",Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj
Kahaani Gudiya Ki...: True Story of a Woman,"Biography, Drama",Prabhakar Shukla,Divya Dutta,Arif Zakaria,Rajpal Yadav
Kahan Gaye,Mystery,Niranjan,Geeta Bali,Chand Burke,
Kahan Hai Kanoon,Action,Deepak Balraj Vij,Sadashiv Amrapurkar,Anand Balraj,Sudhir Dalvi
Kahan Hai Manzil Teri,,S.M. Yusuf,Agha,Sayani Atish,Ila Devi
Kahan Ho Tum,"Drama, Family",Vijay Kumar,Ishita Arun,Samir Soni,Sharman Joshi
Kahan Ho Tum Bagira,Drama,,,,
Kahan Ka Raasta,Documentary,Savyasachi Anju Prabir,,,
Kahan Kahan Se Guzar,"Drama, Musical",Anil Kapoor,,,
Kahan Kahan Se Guzar Gaya,Drama,M.S. Sathyu,Masood Akhtar,Ajoy Bannerjee,Enakshi Bannerjee
Kahan Tak Aasmaan Hai,,Mehmood Kureshi,Rakesh Bedi,Rani Deepa,A.K. Hangal
Kahani,Drama,Nitin Bose,,,
Kahani Ek Chor Ki,"Action, Crime",S. Ramanathan,Asrani,Master Bhagwan,Chandrashekhar
Kahani Ek Sangharsh ki,Drama,Anmol,Nitin Mathur,Anmol,
Kahani Har Zamane Ki,Animation,Bhimsain,,,
Kahani Hum Subb Ki,"Drama, Romance",Rajkumar Kohli,Mala Sinha,Om Prakash,Arun Chopra
Kahani Kamini Ki,Thriller,Shakeela,Sudhakar,Vahini,
Kahani Kismat Ki,"Action, Drama",Arjun Hingorani,Dharmendra,Rekha,Ajit
Kahani Kismat Ki,Action,Farogh Siddique,Laxmikant Berde,Mithun Chakraborty,Shama Deshpande
Kahani Mitra Ki,Drama,Akash Khurana,Sayalee Phatak,Abhay Mahajan,Parna Pethe
"Kahani Nadan Umar Ki,",Thriller,Poonam Balan,Kari Kalan,Suryakant,
Kahani Saali Jeeja Ki,Thriller,Tilak,Chandni Gupta,Anil Nagrath,Amita Nangia
Kahani Shikari Kutte Ki,Drama,,,,
Kahi Hai Woh Aas Pass,Mystery,Sunil Tiwari,Sumeet Chawla,Sonika Gill,Meghna Haldar
Kahin Aar Kahin Paar,"Action, Comedy, Crime",Maruti,Joy Mukherjee,Vimi,Helen
Kahin Aur Chal,Drama,Vijay Anand,Dev Anand,Asha Parekh,Shubha Khote
Kahin Din Kahin Raat,"Action, Crime, Thriller",Darshan Sabharwal,Biswajit Chatterjee,Sapana,Pran
Kahin Hai Mera Pyar,"Drama, Musical, Romance",Mahesh Vaijnath Doijode,Manas Das,Eesha Agarwal,Gajendra Chauhan
Kahin Pyaar Na Ho Jaaye,Comedy,Kalpataru,Shakila,Mehmood,Om Prakash
Kaho Naa... Pyaar Hai,"Action, Musical, Romance",Rakesh Roshan,Hrithik Roshan,Ameesha Patel,Anupam Kher
Kahtey Hain Mujhko Raja,"Action, Family",Biswajit Chatterjee,Dharmendra,Biswajit Chatterjee,Hema Malini
Kai Kodukkam Kai,"Action, Drama",J. Mahendran,Chinnijayanth,Y.G. Mahendran,Rajinikanth
Kai Po Che,"Drama, Sport",Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao
Kailash Putra,Drama,R. Pandiaraajan,Radha Ravi,,
Kailashpati,,Dhirubhai Desai,Sumitra Devi,Mahesh Kumar,Jeevan
Kairee,Drama,Amol Palekar,Yogita Deshmukh,Shilpa Navalkar,Mohan Gokhale
Kaisay Kahein...,"Drama, Romance",Mohit Hussein,Rajvirr Singh,Neha Julka,Aditi Govitrikar
Kaise Kahe,Drama,Mohit Hussain,Neha Julka,Rajvirr Singh,
Kaise Kahoon,Drama,Atma Ram,Biswajit Chatterjee,Nanda,Om Prakash
Kaise Kahoon,,Moti B. Gidwani,Baby Akhtar,Pran,
Kaise Kahoon Ke... Pyaar Hai,"Crime, Romance",Anil Kumar Sharma,Amit Hingorani,Sharbani Mukherjee,Dharmendra
Kaise Kahun I Love You,Thriller,P. Vasu,Prabhu,Sukanya,Vineetha
Kaise Kaise Log,"Drama, Romance",D.S. Azad,Vijayendra Ghatge,Sarika,Ayesha Jhulka
Kaise Kaise Rishte,Romance,Akash Mehra,Ayesha Jhulka,Shahbaaz Khan,Vikas Anand
Kaise maare iss zombie ko?,,Sunil Rupani,Sundip Ved,,
Kajal,,M. Sadiq,Suraiya,Jayant,Amir Banu
Kajarya,Drama,Madhureeta Anand,Meenu Hooda,Ridhima Sud,Kuldeep Ruhil
Kajraare,"Crime, Drama, Romance",Pooja Bhatt,Himesh Reshammiya,Sara Loren,Amrita Singh
Kajri,Drama,Hyder Kazmi,Arpita Singh,,
Kakasparsh,Drama,Mahesh Manjrekar,Tisca Chopra,,
Kake,,Satyam Raj,,,
Kaksparsh,"Drama, Family, History",Mahesh Manjrekar,Sachin Khedekar,Priya Bapat,Abhijit Kelkar
Kal Aaj Aur Kal,"Family, Musical, Romance",Randhir Kapoor,Prithviraj Kapoor,Raj Kapoor,Babita Kapoor
Kal Hamara Hai,Drama,S.K. Prabhakar,Madhubala,Bharat Bhushan,Jayant
Kal Hamara Hai,"Action, Drama",Girish Ranjan,Asrani,Aarti Bhattacharya,A.K. Hangal
Kal Hamara Hai,Drama,Dhruv Lather,Shivangi Bhayana,Tarun Gahlot,Himanshu Kohli
Kal Ho Naa Ho,"Comedy, Drama, Musical",Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan
Kal Ki Awaz,Action,B.R. Chopra,Ravi Chopra,Dharmendra,Raj Babbar
Kal Ki Baat,,R.S. Choudhury,Mubarak,,
Kal Ki Baatein,Drama,,,,
Kal Kissne Dekha,"Action, Crime, Romance",Vivek Sharma,Jackky Bhagnani,Nushrat Bharucha,David Bueno
Kal Kya Hoga,Drama,Manher Desai,Anita Guha,Heera Sawant,Shammi
Kal Nahin Aaj,Drama,,,,
Kal Subah,Romance,,,,
Kal: Yesterday and Tomorrow,"Drama, Mystery, Thriller",Ruchi Narain,Shiney Ahuja,Murad Ali,Ahmed Chaudhary
Kala Aadmi,"Action, Drama, Mystery",Ved-Madan,Ashok Kumar,Shyama,Johnny Walker
Kala Bazaar,"Action, Drama",Rakesh Roshan,Anil Kapoor,Jackie Shroff,Farha Naaz
Kala Bazar,"Crime, Drama, Musical",Vijay Anand,Dev Anand,Waheeda Rehman,Nanda
Kala Bazar,Action,,,,
Kala Bhoot,Horror,A.M. Khan,Bashir,Bose,Gohar Karnataki
Kala Chashma,Thriller,Amarnath,Madan Puri,,
Kala Chor,Action,Amarnath,Chitra,Kumkum,Iqbal Mishra
Kala Coat,"Action, Crime, Drama",Mehmood Khan,Kapil Karzan,Meera Madhuri,Bandini Mishra
Kala Devta,Horror,Ashok Neemrania,,,
Kala Dhanda Goray Log,"Drama, Family",Sanjay Khan,Sunil Dutt,Sanjay Khan,Anita Raj
Kala Ghoda,"Action, Thriller, Western",A. Shamsheer,Azaad Irani,Indira,Shyam Kumar
Kala Gulab,,Sayani Atish,Feroze Dastur,Jal Khambatta,Sharifa
Kala Jadu,Fantasy,Khurshid Bawra,Hercules,Jugnu,Maqbool
Kala Jigar,,Iqbal,,,
Kala Naag,,Dulari,Jamshedji,,
Kala Pahad,,Bhim,Gohar,Navinchandra,
Kala Pani,"Crime, Musical, Romance",Raj Khosla,Dev Anand,Madhubala,Nalini Jaywant
Kala Pani,Action,Shibu Mitra,Shashi Kapoor,Neetu Singh,Bindu
Kala Patthar,Drama,Dwarka Khosla,,,
Kala Pila,Drama,Limosh Pawar,,,
Kala Sach: The Black Truth,Drama,Mayank Prakash Srivastava,Pakhi Hegde,Mushtaq Khan,Himani Shivpuri
Kala Samundar,Action,Chitra,Hiralal,Paidi Jairaj,Maruti
Kala Suraj,"Action, Drama",Desh Gautam,Shatrughan Sinha,Sulakshana Pandit,Rakesh Roshan
Kala Swar,,Navinchandra,,,
Kala Wagh,,Nagendra Majumdar,Bapurao Apte,Bhim,Gohar
Kalaakaar,"Family, Romance",P. Sambasiva Rao,Kunal Goswami,Sridevi,Rakesh Bedi
Kalabaaz,"Action, Adventure, Drama",Ashok Roy,Dev Anand,Zeenat Aman,Pradeep Kumar
Kalaignan,"Action, Drama, Thriller",G.B. Vijay,Kamal Haasan,Bindiya,Farheen
Kalakar,,Anant Mane,Agha,Dhumal,Raja Gosavi
Kalakar,Drama,Jal Merchant,,,
Kalakar,,Agha,,,
Kalank,Drama,Michael Chinappa,,,
Kalank,"Drama, Romance",Abhishek Varman,Varun Dhawan,Alia Bhatt,Madhuri Dixit
Kalankini Based on the Novel by Gulshan Nanda 1993,"Drama, Family, Romance",Dharam Panesar,Dharam Panesar,Subhi Raaj,Jalees Sherwani
Kalasi Palya Junction,Action,,,,
Kalavu,"Comedy, Drama, Family",Ravi M,Pramila Bengre,Shivaji Rao Jadhav,Hulugappa Kattimani
Kali Basti,"Action, Thriller",Sudesh Issar,Shatrughan Sinha,Reena Roy,Vijayendra Ghatge
Kali Dada,Action,Bhanupriya,Charan Raj,,
Kali Ganga,Action,Raj N. Sippy,Dimple Kapadia,Suresh Oberoi,Govinda
Kali Ghata,"Drama, Romance",Kishore Sahu,Kishore Sahu,Bina Rai,Asha Mathur
Kali Ghata,"Romance, Thriller, Mystery",Ved Rahi,Shashi Kapoor,Rekha,Danny Denzongpa
Kali Raat,"Drama, Mystery",Shriram Bohra,Yogeeta Bali,Faryal,Rajan Haksar
Kali Salwaar,Drama,Fareeda Mehta,Sadiya Siddiqui,Irrfan Khan,Surekha Sikri
Kali Topi Lal Rumal,"Musical, Romance",Tara Harish,Shakila,Chandrashekhar,Agha
Kali Waghan,,Shakuntala Paranjpye,,,
Kalia Mardan,,Bhalji Pendharkar,Indubala,,
Kalichaat,Drama,Sudhanshu Sharma,Prakash Deshmukh,Virendra Kumar Nathenial,Geetika Shyam
Kalicharan,"Action, Adventure, Crime",Subhash Ghai,Shatrughan Sinha,Reena Roy,Ajit
Kalicharan,Action,Imran Khalid,Ishrat Ali,Monica Bedi,Bob Christo
Kalidas,"Drama, History, Musical",H.M. Reddy,T.P. Rajalakshmi,P.G. Venkatesan,L.V. Prasad
Kalinga,Drama,Dilip Kumar,Jackie Shroff,Dilip Kumar,Meenakshi Sheshadri
Kaliyon Ki Aawaz,Romance,Ratna Baburao,Gummadi,Koganti,
Kalka,Drama,Loksen Lalvani,Shatrughan Sinha,Raj Babbar,Rameshwari
Kalkoot,,Baburao Pendharkar,,,
Kalloori Vaasal,"Comedy, Romance",Pavithran,Ajith Kumar,Prashanth,Pooja Bhatt
Kallu Handsome,Drama,Reyansh Behl,Anshumann Chaturvedi,Ritesh s Kumar,Ravi Mann
Kalo Cheetah,Family,Satarupa Sanyal,Sharad S. Kapoor,Baisakhi Marjit,Subhasish Mukherjee
Kalpana,Romance,R.K. Rakhan,Ashok Kumar,Padmini,Ragini
Kalpana,Musical,Uday Shankar,Lakshmi Kanta,Usha Kiran,Lalitha
Kalpataru ( the Tree) 2020,Drama,Pramode Kumar,Ravi Shankar Prasad,Pramode Kumar,Sonamoni Jayant Gadekar
Kalsandhya,Drama,Bhabendra Nath Saikia,Hemen Barman,Munin Barua,Mridula Baruah
Kalyani,Drama,Premankur Atorthy,Rattan Bai,W.M. Khan,Ghulam Mohammed
Kalyani,Drama,,,,
Kalyug,Drama,Shyam Benegal,Shashi Kapoor,Rekha,Raj Babbar
Kalyug,"Action, Crime, Drama",Mohit Suri,Kunal Khemu,Deepal Shaw,Smiley Suri
Kalyug,Documentary,Juri Mazumdar,,,
Kalyug 5000,Thriller,Kamlesh Balani,Preeti Bhutani,Rahul Manchanda,Monica Sopad
Kalyug Aur Ramayan,Drama,Babubhai Mistry,Manoj Kumar,Rajiv Goswami,Madhavi
Kalyug Ka Pandav,Action,D. Rajendra Babu,Ambarish,Ravi Babu,Charulatha
Kalyug Ke Avtaar,"Action, Romance",Shyam Ralhan,Jeetendra,Reena Roy,Madhoo
Kalyug Ki Sita,Drama,,,,
Kama Sastra,Thriller,,,,
Kama Sundari,Thriller,Balvinder Sandhu,Monica Castelino,Nagesh Bhonsle,Satyendra Kapoor
Kama Tantra,Thriller,Ashok Kumar,Deepti Bhatnagar,Asha Mehra,Satya Prakash
Kamaal Dhamaal,Comedy,Pradeep Pradhan,,,
Kamaal Dhamaal Malamaal,"Comedy, Drama",Priyadarshan,Nana Patekar,Shreyas Talpade,Om Puri
Kamaal Ki Chhokri,Thriller,,,,
Kamakshee: The Fire of Love,Thriller,Sandeep Bhatt,Milind Gunaji,Dinesh Hingoo,Mohan Joshi
Kamal,Romance,Jeevan,Madan Puri,Lalitha Rao,
Kamal Ke Phool,"Drama, Family",D.D. Kashyap,Amarnath,Suraiya,Jeevan
Kamasutra 3D,"Drama, Romance",Rupesh Paul,Mohan Kapur,Abha Paul,Makrand Deshpande
Kambakkht Ishq,"Action, Comedy, Romance",Sabir Khan,Sylvester Stallone,Denise Richards,Brandon Routh
Kambal,Drama,Mohit Nirmala,Sunanda Sathe,Mahesh Raipurkar,Sameer Shinde
Kameena Kahin Kaa,Thriller,P. Chandrasekhar,Sadashiv Amrapurkar,Anuradha,Kapil Karzan
Kameshwari,Thriller,Aman Sagar,Shakeela,,
Kaminaa Pyasa Pati,Thriller,,,,
Kaminey,"Action, Crime, Drama",Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra Jonas,Deb Mukherjee
Kamini,Horror,Pran,Chethan,Shobha Rani,Rohith
Kamini,Romance,,,,
Kamla,Drama,Jag Mundhra,Shabana Azmi,Deepti Naval,Marc Zuber
Kamla Ki Maut,Drama,Basu Chatterjee,Pankaj Kapur,Supriya Pathak,Roopa Ganguly
Kamlabai,Documentary,Reena Mohan,Kamlabai Gokhale,,
Kamroo Desh Ki Kamini,Action,A.R. Kabuli,Swaroop Rani,Ashraf Khan,Sultana
Kamsin,Romance,Rita Bhaduri,Dan Dhanoa,Tina Ghai,Ved Goswami
Kamsin Haseena,Thriller,Abhilasha,P.L. Ahuja,Rita Bhaduri,Satish Kumar
Kamsin Kali,Thriller,,,,
Kamsin Saali Bani Gharwali,Thriller,,,,
Kamsin: The Untouched,Drama,Amit Suryavanshi,Birbal,K.K. Goswami,Jyoti
Kan Kan Men Bhagwan,"Adventure, Drama, Fantasy",Babubhai Mistry,Anita Guha,Mahipal,Ram Singh
Kanak Kanta,,Anand Prasad Kapoor,Mehar Banu,Lobo,Ata Mohammed
Kanave Kalaiyadhe,"Action, Drama",V. Gowthaman,Sabitha Anand,Charlie,Chinnijayanth
Kanch Aur Heera,Romance,Charandas Shokh,Chetan Anand,Rajan Haksar,Kamal Kapoor
Kanch Ki Gudiya,"Drama, Family",Harnam Singh Rawail,Manoj Kumar,Sayeeda Khan,Shubha Khote
Kanchan,,Leela Chitnis,Leela Chitnis,Vimala Vasishta,Arun
Kanchan,Romance,Ajit,Paidi Jairaj,Ranjana,D.K. Sapru
Kanchan Aur Ganga,,Mehul Kumar,Aruna Irani,Satyendra Kapoor,Arvind Kumar
Kanchani Aaj Bhi Hai,Horror,Som Vats,Akash Faujdar,,
Kandy Twist,Drama,Shiva Rindani,Dinero Ash,Pari Chaudhary,Greg de Sousa
Kaneez,"Drama, History",Krishna Kumar,Munawwar Sultana,Shyam,Urmila
Kangan,"Drama, Romance",Franz Osten,Leela Chitnis,Ashok Kumar,V.H. Desai
Kangan,Mystery,Nanabhai Bhatt,Nirupa Roy,Ashok Kumar,Purnima
Kangan,Drama,K.B. Tilak,Ashok Kumar,Mala Sinha,Sanjeev Kumar
Kanhaiya,"Romance, Drama, Family",Om Prakash,Raj Kapoor,Nutan,Lalita Pawar
Kanhaiyaa,"Action, Crime, Drama",Khalid Sami,Master Amit,Master Chaitanya,Asha Chandra
Kanjoos,Drama,K. Amarnath,,,
Kankaal,Comedy,Kamal Swaroop,,,
Kanmani,"Drama, Romance",R.K. Selvamani,Jaishankar,Mansoor Ali Khan,Lakshmi
Kannan Varuvaan,Romance,Sundar C.,Karthik,Mantra,Divyaa Unni
Kanoon,,Abdul Rashid Kardar,Shahu Modak,Miss Mehtab,Badri Prasad
Kanoon,"Drama, Crime, Mystery",B.R. Chopra,Rajendra Kumar,Ashok Kumar,Nanda
Kanoon,"Action, Drama",Sushma Shiromani,Ajay Devgn,Urmila Matondkar,Kiran Kumar
Kanoon Apna Apna,"Action, Crime, Drama",Gopal B.,Dilip Kumar,Nutan,Sanjay Dutt
Kanoon Aur Mujrim,"Action, Drama",Sham Jethani,Bharat Kapoor,Padma Khanna,Madhu Malini
Kanoon Aur Sazaa,Action,Raj Bharat,Chiranjeevi,Satya Narayan,Radha
Kanoon Ka Harz,"Comedy, Drama, Family",Prem Chopra,,,
Kanoon Ka Sikandar,Action,Girish Dubey,Dharmendra,Girish Dubey,Girish Dubey
Kanoon Kanoon Hai,Action,Parveen Bala,Ramesh Deo,Kalpana Iyer,Jamuna
Kanoon Ke Dushman,Action,Puratchchidasan,Jayamalini,Pandharibai,Rajinikanth
Kanoon Ki Hathkadee,Action,K. Bapaiah,Sridevi,Krishna,Gummadi
Kanoon Ki Jung,Action,Teshi Venkatesh,Sai Kumar,Rama Murthy,Anant Nag
Kanoon Ki Lalkaar,Action,Ha Su Rajashekar,Saikumar,Vineetha,
Kanoon Ki Zanjeer,"Action, Crime",P. Lakshman,Dharmendra,Jaya Prada,Raj Babbar
Kanoon Kya Karega,Thriller,Mukul Anand,Suresh Oberoi,Deepti Naval,Iftekhar
Kanoon Meri Mutthi Mein,Action,Chand,K. Prasad,Raj Babbar,Parveen Babi
Kanoon Se Rishta,Action,Vishwa Naidu,,,
Kanpur Ke Sholay,Drama,Alam Siddiqui,Gulfam Khan,Ajay Tripathi,
Kanpuriye,Drama,Ashish Aryan,Aparshakti Khurana,Divyendu Sharma,Vijay Raaz
Kanwarlal,"Action, Drama",S.S. Ravichandra,Salma Agha,Arjun,Raj Babbar
Kanya Dweep,Musical,Ramanna,Vijaya Chandrika,Ranjeet,Radhika Sarathkumar
Kanya Vikraya,,Mohammed Hussain,Patience Cooper,,
Kanya Vikraya,,V.S. Nirantar,Bhaurao Datar,Krishna Chauhan,
Kanyadaan,"Drama, Romance",Mohan Segal,Asha Parekh,Shashi Kapoor,Sayeeda Khan
Kanyadaan,Drama,Akshay Dinesh Vaishnav,Deepika Amin,Mrinmayee Godbole,Darshan Jariwala
Kapal Kundala,,Nitin Bose,Phani Majumdar,Sailen Choudhury,Leela Desai
Kapat,"Mystery, Thriller",Milinnd Sagar,Aakriti Bisaria,Bhaumik Sampat,V.P.G. Panicker
Kaphal: Wild Berries,"Action, Adventure, Drama",Batul Mukhtiar,Hema Bisht,Ramkishan Choyal,Subrat Dutta
Kapoor & Sons,"Comedy, Drama, Family",Shakun Batra,Rishi Kapoor,Rajat Kapoor,Ratna Pathak Shah
Kar Bhala,"Action, Adventure",Master Bhagwan,Master Bhagwan,Nasir Khan,Malika
Karam,"Action, Crime, Drama",Sanjay F. Gupta,John Abraham,Priyanka Chopra Jonas,Bharat Dabholkar
Karamati Coat,"Comedy, Family, Fantasy",Ajay Karthik,Prachi Save,Swapnesh Sawant,Vikram Acharya
Karamdaata,Drama,Shashilal K. Nair,Shammi Kapoor,Mithun Chakraborty,Amrita Singh
Karamveer,Action,Dinesh Chaudhary,Uttar Kumar,Suman Negi,Dev Sharma
Karan,Action,Shiv Kumar,Virender Razdan,Prem Chopra,Balwant Dullat
Karan Arjun,"Action, Drama, Fantasy",Rakesh Roshan,Rakhee Gulzar,Salman Khan,Shah Rukh Khan
Karar: The Deal,Thriller,Sabir,Mahek Chahal,Tarun Arora,Shashi Wadia
Karate,"Action, Drama, Musical",Deb Mukherjee,Mithun Chakraborty,Deb Mukherjee,Kaajal Kiran
Karate Kawach,Action,Sagar Joshi,Laxman Singh Rajput,Abhishek Khanna,Sneha Sharma
Karavas,Drama,Pankaj Berry,Dev Gill,Swati Vajpayee,Manish Wadhwa
Kareeb,"Drama, Romance",Vidhu Vinod Chopra,Bobby Deol,Shabana Raza,Abhay Chopra
Karigar,Drama,Vasant Joglekar,Ashok Kumar,Nirupa Roy,Om Prakash
Karim Mohammed,Drama,Pawan Kumar Sharma,Alka Amin,Veer Gujjar,Rajesh Jais
Karishma Kali Kaa,Horror,Ashok Punjabi,Amrita Singh,Shatrughan Sinha,Urmila Bhatt
Karishma Kismat Ka,Action,Urmila Bhatt,Bharat Bhushan,Sahila Chaddha,Leena Das
Karishma Kudrat Kaa,"Action, Drama",Sunil Hingorani,Rati Agnihotri,Urmila Bhatt,Mithun Chakraborty
Karishma: Jamal Tree,Drama,,,,
Karishmaa,"Crime, Thriller",I.V. Sasi,Kamal Haasan,Reena Roy,Tina Ambani
Karle Pyaar Karle,"Action, Romance",Rajesh Pandey,Shiv Darshan,Hasleen Kaur,Aham Sharma
Karlo Timepass Yaar,Romance,Vajsi Ahir,Charu Mehra,Tiku Talsania,
Karm,"Drama, Family",B.R. Chopra,Rajesh Khanna,Vidya Sinha,Shabana Azmi
Karm Kasauti,Drama,Sharad Chaudhary,Sulabha Deshpande,Nana Patekar,Rameshwari
Karma,"Action, Adventure, Drama",Subhash Ghai,Dilip Kumar,Nutan,Naseeruddin Shah
Karma,"Drama, Romance",Kartik Swaminathan Venkatraman,Johnny Serret,Sagar Sharma,Puja S
Karma 1935,Drama,J.L. Freer-Hunt,,,
Karma Veer,,Hiralal,,,
"Karma, Confessions and Holi",Drama,Manish Gupta,Rati Agnihotri,Armin Amiri,Kulraaj Anand
Karma: Crime. Passion. Reincarnation,"Crime, Drama, Mystery",M.R. Shahjahan,Alma S. Grey,Carl Weyant,Vijayendra Ghatge
Karmayogi,"Action, Drama",Ram Maheshwari,Mala Sinha,Raaj Kumar,Jeetendra
Karmon Kee Sazaa,Action,Anil Pandit,Pankaj Dheer,Arjun,Vidyashree
Karmveer,Action,Mohan Babu,Sarath Babu,Anjali Devi,Jayamalini
Karmveer- The Pursuit of Dreams,Drama,Ganesh Loke,Asmi,Ganesh Loke,Tejal
Karmyoddha,"Action, Drama",Dayal Nihalani,Raj Babbar,Dimple Kapadia,Javed Jaffrey
Karmyudh,Action,Swaroop Kumar,Mithun Chakraborty,Anita Raj,Pran
Karna,"Action, Drama, History",Vishnupant Govind Damle,Sheikh Fattelal,Keshavrao Dhaiber,Kamaladevi
Karna,"Action, Drama, History",Shree Nath Patankar,Raja Sandow P.K.,,
Karnam Malleswari Biopic,Sport,Sanjana Reddy,,,
Karnika,Drama,Rupender Verma,,,
Karo Na... Pyar,Thriller,K. Bhushan,Mallika Arora,Pooja Chopra,Milind Gunaji
